user_id,product,created
492230,total_payment,"2018-10-06 22:24:59.961338"
3073430,total_payment,"2018-10-06 23:20:09.566285"
2064071,total_payment,"2018-10-06 23:35:40.316639"
733463,total_payment,"2018-10-06 23:49:11.094730"
3073466,total_payment,"2018-10-06 23:55:52.110638"
933971,total_payment,"2018-10-07 00:08:00.047040"
2149454,total_payment,"2018-10-07 07:55:43.655428"
2036096,total_payment,"2018-10-07 08:04:22.565367"
1177721,total_payment,"2018-10-07 08:42:40.515221"
70637,total_payment,"2018-10-07 08:49:09.799044"
696809,total_payment,"2018-10-07 10:35:59.521338"
2673734,total_payment,"2018-10-07 10:36:02.441922"
939545,total_payment,"2018-10-07 10:42:13.808008"
3073847,total_payment,"2018-10-07 10:42:03.487499"
198893,total_payment,"2018-10-07 12:46:35.348220"
1053794,total_payment,"2018-10-07 13:34:34.545346"
1651817,total_payment,"2018-10-07 14:38:16.563302"
673244,total_payment,"2018-10-07 15:00:14.579914"
1213583,total_payment,"2018-10-07 15:09:27.407860"
2245202,total_payment,"2018-10-07 15:24:08.757586"
552815,total_payment,"2018-10-07 15:28:47.038383"
404798,total_payment,"2018-10-07 16:48:12.407699"
2729954,total_payment,"2018-10-07 18:02:33.276796"
857633,total_payment,"2018-10-07 18:42:00.558284"
2924897,total_payment,"2018-10-07 18:50:43.584079"
3074936,total_payment,"2018-10-07 20:46:34.488778"
418115,total_payment,"2018-10-07 22:08:29.189812"
857339,total_payment,"2018-10-07 22:47:05.059381"
1542506,total_payment,"2018-10-08 00:30:38.782004"
386759,total_payment,"2018-10-08 03:26:25.021607"
856328,total_payment,"2018-10-08 03:31:04.416545"
1275086,total_payment,"2018-10-08 08:18:12.337543"
1042487,total_payment,"2018-10-08 10:10:43.459970"
586049,total_payment,"2018-10-08 10:38:21.947765"
2450135,total_payment,"2018-10-08 11:29:14.182666"
2663387,total_payment,"2018-10-08 12:01:13.384446"
493391,total_payment,"2018-10-08 12:53:06.367669"
3012764,total_payment,"2018-10-08 14:23:25.955541"
2486612,total_payment,"2018-10-08 14:39:37.765485"
1251689,total_payment,"2018-10-08 14:49:29.851277"
2482355,total_payment,"2018-10-08 16:01:54.687487"
3076049,total_payment,"2018-10-08 16:47:49.824659"
365504,total_payment,"2018-10-08 16:57:16.117317"
1505741,total_payment,"2018-10-08 17:38:18.608810"
1743731,total_payment,"2018-10-08 17:38:38.116805"
2469695,total_payment,"2018-10-08 18:10:39.910506"
2692730,total_payment,"2018-10-08 19:30:11.651174"
1383053,total_payment,"2018-10-08 20:02:08.783690"
2263046,total_payment,"2018-10-08 20:10:01.909124"
3076370,total_payment,"2018-10-08 20:35:31.764826"
3076397,total_payment,"2018-10-08 21:03:11.559517"
3076397,total_payment,"2018-10-08 21:10:15.880232"
434621,total_payment,"2018-10-08 21:11:04.794208"
461141,total_payment,"2018-10-08 21:59:32.470386"
261989,total_payment,"2018-10-08 22:48:51.922847"
672794,total_payment,"2018-10-08 23:06:12.190492"
1339682,total_payment,"2018-10-08 23:31:18.451329"
